Abbreviation,TeamName,GridPosition,Position,Points,Year,Race
MSC,Haas F1 Team,20.0,12.0,0.0,2021,Hungarian Grand Prix
GIO,Alfa Romeo Racing,0.0,13.0,0.0,2021,Hungarian Grand Prix
MAZ,Haas F1 Team,19.0,14.0,0.0,2021,Hungarian Grand Prix
NOR,McLaren,6.0,15.0,0.0,2021,Hungarian Grand Prix
BOT,Mercedes,2.0,16.0,0.0,2021,Hungarian Grand Prix
PER,Red Bull Racing,4.0,17.0,0.0,2021,Hungarian Grand Prix
LEC,Ferrari,7.0,18.0,0.0,2021,Hungarian Grand Prix
STR,Aston Martin,12.0,19.0,0.0,2021,Hungarian Grand Prix
VET,Aston Martin,10.0,20.0,0.0,2021,Hungarian Grand Prix
VER,Red Bull Racing,1.0,1.0,12.5,2021,Belgian Grand Prix
RUS,Williams,2.0,2.0,9.0,2021,Belgian Grand Prix
HAM,Mercedes,3.0,3.0,7.5,2021,Belgian Grand Prix
RIC,McLaren,4.0,4.0,6.0,2021,Belgian Grand Prix
VET,Aston Martin,5.0,5.0,5.0,2021,Belgian Grand Prix
GAS,AlphaTauri,6.0,6.0,4.0,2021,Belgian Grand Prix
OCO,Alpine,8.0,7.0,3.0,2021,Belgian Grand Prix
LEC,Ferrari,9.0,8.0,2.0,2021,Belgian Grand Prix
LAT,Williams,10.0,9.0,1.0,2021,Belgian Grand Prix
SAI,Ferrari,11.0,10.0,0.5,2021,Belgian Grand Prix
ALO,Alpine,12.0,11.0,0.0,2021,Belgian Grand Prix
BOT,Mercedes,13.0,12.0,0.0,2021,Belgian Grand Prix
GIO,Alfa Romeo Racing,14.0,13.0,0.0,2021,Belgian Grand Prix
NOR,McLaren,15.0,14.0,0.0,2021,Belgian Grand Prix
TSU,AlphaTauri,16.0,15.0,0.0,2021,Belgian Grand Prix
MSC,Haas F1 Team,17.0,16.0,0.0,2021,Belgian Grand Prix
MAZ,Haas F1 Team,18.0,17.0,0.0,2021,Belgian Grand Prix
RAI,Alfa Romeo Racing,0.0,18.0,0.0,2021,Belgian Grand Prix
PER,Red Bull Racing,0.0,19.0,0.0,2021,Belgian Grand Prix
STR,Aston Martin,19.0,20.0,0.0,2021,Belgian Grand Prix
VER,Red Bull Racing,1.0,1.0,25.0,2021,Dutch Grand Prix
HAM,Mercedes,2.0,2.0,19.0,2021,Dutch Grand Prix
BOT,Mercedes,3.0,3.0,15.0,2021,Dutch Grand Prix
GAS,AlphaTauri,4.0,4.0,12.0,2021,Dutch Grand Prix
LEC,Ferrari,5.0,5.0,10.0,2021,Dutch Grand Prix
ALO,Alpine,9.0,6.0,8.0,2021,Dutch Grand Prix
SAI,Ferrari,6.0,7.0,6.0,2021,Dutch Grand Prix
PER,Red Bull Racing,0.0,8.0,4.0,2021,Dutch Grand Prix
OCO,Alpine,8.0,9.0,2.0,2021,Dutch Grand Prix
NOR,McLaren,13.0,10.0,1.0,2021,Dutch Grand Prix
RIC,McLaren,10.0,11.0,0.0,2021,Dutch Grand Prix
STR,Aston Martin,12.0,12.0,0.0,2021,Dutch Grand Prix
VET,Aston Martin,15.0,13.0,0.0,2021,Dutch Grand Prix
GIO,Alfa Romeo Racing,7.0,14.0,0.0,2021,Dutch Grand Prix
KUB,Alfa Romeo Racing,16.0,15.0,0.0,2021,Dutch Grand Prix
LAT,Williams,0.0,16.0,0.0,2021,Dutch Grand Prix
RUS,Williams,11.0,17.0,0.0,2021,Dutch Grand Prix
MSC,Haas F1 Team,17.0,18.0,0.0,2021,Dutch Grand Prix
TSU,AlphaTauri,14.0,19.0,0.0,2021,Dutch Grand Prix
MAZ,Haas F1 Team,18.0,20.0,0.0,2021,Dutch Grand Prix
RIC,McLaren,2.0,1.0,26.0,2021,Italian Grand Prix
NOR,McLaren,3.0,2.0,18.0,2021,Italian Grand Prix
BOT,Mercedes,19.0,3.0,15.0,2021,Italian Grand Prix
LEC,Ferrari,5.0,4.0,12.0,2021,Italian Grand Prix
PER,Red Bull Racing,8.0,5.0,10.0,2021,Italian Grand Prix
SAI,Ferrari,6.0,6.0,8.0,2021,Italian Grand Prix
STR,Aston Martin,9.0,7.0,6.0,2021,Italian Grand Prix
ALO,Alpine,10.0,8.0,4.0,2021,Italian Grand Prix
RUS,Williams,14.0,9.0,2.0,2021,Italian Grand Prix
OCO,Alpine,12.0,10.0,1.0,2021,Italian Grand Prix
LAT,Williams,13.0,11.0,0.0,2021,Italian Grand Prix
VET,Aston Martin,11.0,12.0,0.0,2021,Italian Grand Prix
GIO,Alfa Romeo Racing,7.0,13.0,0.0,2021,Italian Grand Prix
KUB,Alfa Romeo Racing,17.0,14.0,0.0,2021,Italian Grand Prix
MSC,Haas F1 Team,18.0,15.0,0.0,2021,Italian Grand Prix
MAZ,Haas F1 Team,16.0,16.0,0.0,2021,Italian Grand Prix
HAM,Mercedes,4.0,17.0,0.0,2021,Italian Grand Prix
VER,Red Bull Racing,1.0,18.0,0.0,2021,Italian Grand Prix
GAS,AlphaTauri,0.0,19.0,0.0,2021,Italian Grand Prix
TSU,AlphaTauri,0.0,20.0,0.0,2021,Italian Grand Prix
HAM,Mercedes,4.0,1.0,25.0,2021,Russian Grand Prix
VER,Red Bull Racing,20.0,2.0,18.0,2021,Russian Grand Prix
SAI,Ferrari,2.0,3.0,15.0,2021,Russian Grand Prix
RIC,McLaren,5.0,4.0,12.0,2021,Russian Grand Prix
BOT,Mercedes,16.0,5.0,10.0,2021,Russian Grand Prix
ALO,Alpine,6.0,6.0,8.0,2021,Russian Grand Prix
NOR,McLaren,1.0,7.0,7.0,2021,Russian Grand Prix
RAI,Alfa Romeo Racing,13.0,8.0,4.0,2021,Russian Grand Prix
PER,Red Bull Racing,8.0,9.0,2.0,2021,Russian Grand Prix
RUS,Williams,3.0,10.0,1.0,2021,Russian Grand Prix
STR,Aston Martin,7.0,11.0,0.0,2021,Russian Grand Prix
VET,Aston Martin,10.0,12.0,0.0,2021,Russian Grand Prix
GAS,AlphaTauri,11.0,13.0,0.0,2021,Russian Grand Prix
OCO,Alpine,9.0,14.0,0.0,2021,Russian Grand Prix
LEC,Ferrari,19.0,15.0,0.0,2021,Russian Grand Prix
GIO,Alfa Romeo Racing,17.0,16.0,0.0,2021,Russian Grand Prix
TSU,AlphaTauri,12.0,17.0,0.0,2021,Russian Grand Prix
MAZ,Haas F1 Team,15.0,18.0,0.0,2021,Russian Grand Prix
LAT,Williams,18.0,19.0,0.0,2021,Russian Grand Prix
MSC,Haas F1 Team,14.0,20.0,0.0,2021,Russian Grand Prix
BOT,Mercedes,1.0,1.0,26.0,2021,Turkish Grand Prix
VER,Red Bull Racing,2.0,2.0,18.0,2021,Turkish Grand Prix
PER,Red Bull Racing,6.0,3.0,15.0,2021,Turkish Grand Prix
LEC,Ferrari,3.0,4.0,12.0,2021,Turkish Grand Prix
